,ID,Program.Code,From.Grade,To.Grade,Group.State,Is.Non.Annual.,Days,Travel.Type,Departure.Date,Return.Date,Deposit.Date,Special.Pay,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Early.RPL,Latest.RPL,Cancelled.Pax,Total.Discount.Pax,Initial.System.Date,Poverty.Code,Region,CRM.Segment,School.Type,Parent.Meeting.Flag,MDR.Low.Grade,MDR.High.Grade,Total.School.Enrollment,Income.Level,EZ.Pay.Take.Up.Rate,School.Sponsor,SPR.Product.Type,SPR.New.Existing,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,SchoolSizeIndicator,Retained.in.2012.,NPS 2011,NPS 2010,NPS 2009,NPS 2008,>= 3 FPP Date,>= 10 FPP Date,>= 20 FPP Date,>= 35 FPP Date,From.Grade_surrogate,To.Grade_surrogate,Special.Pay_surrogate,Early.RPL_surrogate,Latest.RPL_surrogate,Initial.System.Date_surrogate,Poverty.Code_surrogate,CRM.Segment_surrogate,MDR.Low.Grade_surrogate,MDR.High.Grade_surrogate,Total.School.Enrollment_surrogate,Income.Level_surrogate,FirstMeeting_surrogate,LastMeeting_surrogate,DifferenceTraveltoFirstMeeting_surrogate,DifferenceTraveltoLastMeeting_surrogate,FPP.to.School.enrollment_surrogate,SchoolSizeIndicator_surrogate,NPS 2011_surrogate,NPS 2010_surrogate,NPS 2009_surrogate,NPS 2008_surrogate,>= 3 FPP Date_surrogate,>= 10 FPP Date_surrogate,>= 20 FPP Date_surrogate,>= 35 FPP Date_surrogate
237,238,HD,8.0,8.0,MO,0,6,B,2011-03-18,2011-03-23,2010-10-20,FIXED_NA,1002,38,5,0.5760000000000001,2010-03-17,2010-08-21,6,6,2010-03-16,C,Other,10.0,PUBLIC,1,7,8.0,644.0,J,0.303,0,East Coast,EXISTING,66,72,1002,1,2010-08-31,2010-08-31,199.0,199.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.102484472,0.916666667,6,M-L,1,9.0,9.0,10.0,10.0,2010-05-14,2010-05-14,2010-05-24,2010-05-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,239,HD,4.0,5.0,CA,0,7,A,2011-03-18,2011-03-25,2010-10-15,FIXED_NA,2599,6,0,0.261,2010-04-01,2010-08-23,0,3,2010-04-02,FIXED_NA,Southern California,5.0,CHD,1,PK,8.0,300.0,J,0.304,1,East Coast,EXISTING,23,26,2599,1,2010-09-14,2010-09-14,185.0,185.0,Elementary,Elementary,Elementary->Elementary,March,PK,Middle,PK->Middle,H,0,0.07666666700000001,0.884615385,3,S,1,10.0,0.0,0.0,0.0,2010-05-27,2010-06-07,2011-02-08,1900-01-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
239,240,HG,4.0,4.0,CA,0,2,A,2011-03-19,2011-03-20,2010-10-30,FIXED_NA,618,9,2,0.391,2010-04-29,2010-09-02,6,2,2010-04-28,A,Southern California,4.0,PUBLIC,1,K,5.0,980.0,Q,0.174,0,CA History,EXISTING,23,25,618,1,2010-10-20,2010-10-20,150.0,150.0,Elementary,Elementary,Elementary->Elementary,March,K,Elementary,K->Elementary,H,1,0.023469387999999997,0.92,2,L,0,10.0,0.0,0.0,0.0,2010-06-14,2010-06-16,2010-10-23,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
240,241,HD,8.0,8.0,MO,0,3,A,2011-03-19,2011-03-21,2010-10-31,FIXED_NA,1068,13,4,0.867,2010-03-02,2010-08-23,5,2,2010-03-02,B,Other,10.0,PUBLIC,1,7,8.0,750.0,K,0.2,0,East Coast,NEW,15,17,1068,1,2010-09-07,2010-09-07,193.0,193.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.02,0.882352941,2,M-L,1,9.0,0.0,10.0,10.0,2010-04-06,2010-04-29,1900-01-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
241,242,HN,11.0,12.0,TN,1,4,A,2011-03-19,2011-03-22,2010-10-15,FIXED_NA,1967,10,2,0.909,2010-02-17,2010-08-24,2,2,2010-02-02,C,Other,8.0,PUBLIC,0,9,12.0,380.0,C,0.273,0,East Coast,EXISTING,11,13,1967,0,1900-01-01,1900-01-01,0.0,0.0,High,High,High->High,March,High,High,High->High,H,0,0.028947367999999998,0.846153846,2,S-M,0,10.0,0.0,9.0,0.0,2010-05-22,2010-06-01,1900-01-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1
242,243,HD,8.0,8.0,GA,0,4,A,2011-03-19,2011-03-22,2010-10-01,FIXED_NA,1219,22,1,0.733,2010-04-27,2010-08-16,1,2,2010-04-27,FIXED_NA,Other,2.0,Private non-Christian,1,PK,12.0,428.0,I,0.433,0,East Coast,EXISTING,30,32,1219,1,2010-09-28,2010-09-28,172.0,172.0,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.070093458,0.9375,2,S-M,1,10.0,0.0,10.0,0.0,2010-05-14,2010-05-21,2010-05-31,1900-01-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
243,244,SG,11.0,12.0,VA,0,4,A,2011-03-19,2011-03-22,2010-10-15,FIXED_NA,1596,10,2,0.909,2010-03-24,2010-08-31,2,1,2010-03-19,B,Other,6.0,PUBLIC,1,9,12.0,1300.0,M,0.182,0,Science,EXISTING,11,12,1596,1,2010-09-15,2010-09-15,185.0,185.0,High,High,High->High,March,High,High,High->High,S,0,0.008461538000000001,0.916666667,1,L,1,0.0,8.0,10.0,0.0,2010-05-26,2010-06-01,1900-01-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
244,245,HD,7.0,8.0,AZ,0,4,A,2011-03-19,2011-03-22,2010-10-22,FIXED_NA,1834,6,3,0.375,1900-01-01,2010-07-27,3,2,2010-05-08,B,Other,5.0,PUBLIC,1,7,8.0,970.0,N,0.0,0,East Coast,EXISTING,16,18,1834,1,2010-08-25,2010-08-25,206.0,206.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0,0.016494845,0.8888888890000001,2,L,1,10.0,10.0,8.0,10.0,2010-08-27,2010-10-01,1900-01-01,1900-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
245,246,SG,10.0,12.0,VA,0,4,A,2011-03-19,2011-03-22,2010-10-29,FIXED_NA,1593,15,4,0.75,2010-04-22,2010-09-16,5,2,2010-03-17,A,Other,6.0,PUBLIC,1,9,12.0,2127.0,P,0.05,0,Science,EXISTING,20,22,1593,1,2010-10-14,2010-10-14,156.0,156.0,High,High,High->High,March,High,High,High->High,S,0,0.009402915,0.9090909090000001,2,L,1,0.0,0.0,10.0,0.0,2010-10-16,2010-10-29,2011-02-10,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
246,247,HD,0.0,0.0,CO,0,4,A,2011-03-19,2011-03-22,2010-10-30,FIXED_NA,1651,7,1,0.636,1900-01-01,2010-10-11,2,2,2010-10-08,B,Other,10.0,PUBLIC,1,6,8.0,925.0,O,0.091,0,East Coast,NEW,11,13,1651,1,2010-10-21,2010-10-21,149.0,149.0,Undefined,Undefined,Undefined->Undefined,March,Middle,Middle,Middle->Middle,H,0,0.011891892,0.846153846,2,L,1,10.0,0.0,0.0,0.0,2010-10-25,2010-11-08,1900-01-01,1900-01-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
247,248,HD,7.0,8.0,CA,0,5,A,2011-03-19,2011-03-23,2010-12-31,FIXED_NA,1967,18,0,0.6920000000000001,2010-03-31,2010-08-23,1,2,2010-03-31,B,Southern California,5.0,PUBLIC,1,6,8.0,533.0,L,0.039,0,East Coast,EXISTING,26,28,1967,1,2010-09-15,2010-09-15,185.0,185.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0,0.048780488,0.9285714290000001,2,S-M,1,9.0,9.0,9.0,0.0,2010-05-13,2010-06-08,2010-10-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
248,249,HD,8.0,8.0,KS,0,4,A,2011-03-19,2011-03-23,2010-10-09,FIXED_NA,1632,25,11,0.7809999999999999,2010-02-24,2010-08-10,11,2,2010-02-21,B,Other,10.0,PUBLIC,1,6,8.0,950.0,I,0.188,0,East Coast,EXISTING,32,34,1632,1,2010-09-13,2010-09-13,187.0,187.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.033684211,0.9411764709999999,2,L,1,10.0,10.0,10.0,10.0,2010-04-21,2010-05-21,2010-06-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
249,250,HD,8.0,8.0,CO,0,5,A,2011-03-19,2011-03-23,2010-10-15,FIXED_NA,1549,30,4,0.682,2010-02-15,2010-08-19,6,3,2010-02-13,B,Other,10.0,PUBLIC,1,K,8.0,982.0,P,0.341,0,East Coast,EXISTING,44,47,1549,1,2010-09-15,2010-09-15,185.0,185.0,Middle,Middle,Middle->Middle,March,K,Middle,K->Middle,H,1,0.044806517000000004,0.9361702129999999,3,L,1,10.0,10.0,10.0,10.0,2010-04-30,2010-05-21,2010-05-28,2010-06-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,251,HD,8.0,9.0,FL,0,5,B,2011-03-19,2011-03-23,2010-10-08,FIXED_NA,875,14,5,0.609,2010-05-19,2010-05-19,5,4,2010-05-20,B,Other,10.0,PUBLIC,1,6,8.0,1101.0,M,0.13,0,East Coast,NEW,23,27,875,1,2010-09-01,2010-09-01,199.0,199.0,Middle,High,Middle->High,March,Middle,Middle,Middle->Middle,H,0,0.020890099999999998,0.851851852,4,L,1,10.0,0.0,0.0,0.0,2010-06-28,2010-07-15,2010-09-22,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
251,252,HD,8.0,8.0,CO,0,5,A,2011-03-19,2011-03-23,2010-10-15,FIXED_NA,1847,12,5,0.632,2010-02-25,2010-08-13,6,1,2010-02-25,B,Other,5.0,PUBLIC,1,6,8.0,1110.0,P,0.21100000000000002,0,East Coast,EXISTING,19,20,1847,1,2010-09-13,2010-09-13,187.0,187.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.017117117,0.95,1,L,1,10.0,10.0,10.0,10.0,2010-05-21,2010-05-30,1900-01-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
252,253,HC,8.0,8.0,OR,0,6,A,2011-03-19,2011-03-24,2010-11-19,FR,2588,7,1,0.233,2010-04-12,2010-08-12,5,3,2010-03-31,C,Pacific Northwest,5.0,PUBLIC,1,6,8.0,538.0,E,0.2,0,East Coast,EXISTING,30,33,2588,1,2010-09-09,2010-09-09,191.0,191.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.055762082000000004,0.9090909090000001,3,S-M,1,8.0,9.0,4.0,9.0,2010-04-24,2010-05-20,2010-05-27,1900-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
253,254,HD,8.0,8.0,CO,0,6,A,2011-03-19,2011-03-24,2010-11-01,FR,2125,26,6,0.634,2010-02-01,2010-08-13,9,8,2010-01-30,B,Other,10.0,PUBLIC,1,6,8.0,1038.0,O,0.073,0,East Coast,EXISTING,41,49,2125,2,2010-04-13,2010-08-31,340.0,200.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.039499037,0.8367346940000001,8,L,1,10.0,10.0,10.0,10.0,2010-04-14,2010-04-27,2010-05-24,2010-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,255,HD,5.0,8.0,CA,0,5,A,2011-03-19,2011-03-24,2010-10-29,FIXED_NA,2157,14,8,0.778,2010-04-27,2010-09-13,7,2,2010-04-24,FIXED_NA,Southern California,5.0,Private non-Christian,1,K,12.0,745.0,Q,0.33299999999999996,1,East Coast,NEW,18,20,2157,1,2010-09-29,2010-09-29,171.0,171.0,Elementary,Middle,Elementary->Middle,March,K,High,K->High,H,0,0.024161073999999998,0.9,2,M-L,0,0.0,0.0,0.0,0.0,2010-05-13,2010-05-31,1900-01-01,1900-01-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
255,256,HD,6.0,8.0,CA,0,6,A,2011-03-19,2011-03-24,2010-10-15,FIXED_NA,2127,31,11,0.608,2010-04-29,2010-08-26,15,4,2010-04-29,B,Southern California,5.0,PUBLIC,1,6,8.0,1103.0,Q,0.235,0,East Coast,EXISTING,51,55,2127,1,2010-09-15,2010-09-15,185.0,185.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0,0.046237534000000004,0.9272727270000001,4,L,1,6.0,0.0,7.0,0.0,2010-05-11,2010-05-13,2010-05-14,2010-08-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
256,257,SC,8.0,0.0,OR,0,7,A,2011-03-19,2011-03-25,2010-11-15,FIXED_NA,2644,5,1,0.833,2010-04-14,2010-08-19,1,1,2010-04-13,B,Pacific Northwest,6.0,PUBLIC,1,7,8.0,640.0,M,0.33299999999999996,0,Costa Rica,NEW,6,7,2644,1,2010-09-21,2010-09-21,179.0,179.0,Middle,Undefined,Middle->Undefined,March,Middle,Middle,Middle->Middle,S,0,0.009375,0.857142857,1,M-L,1,10.0,0.0,0.0,0.0,2010-05-21,1900-01-01,1900-01-01,1900-01-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
257,258,HD,8.0,8.0,CA,0,7,A,2011-03-19,2011-03-25,2010-11-01,FIXED_NA,2144,30,5,0.588,2010-04-23,2010-09-10,5,2,2010-04-20,B,Southern California,5.0,PUBLIC,1,6,8.0,950.0,N,0.21600000000000003,0,East Coast,EXISTING,51,53,2144,2,2010-09-21,2010-11-30,179.0,109.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.053684210999999996,0.962264151,2,L,1,10.0,10.0,10.0,0.0,2010-05-05,2010-05-05,2010-05-07,2010-05-29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
258,259,HC,8.0,8.0,Other.Group.State,0,7,A,2011-03-19,2011-03-25,2010-11-01,FIXED_NA,3089,33,5,0.825,2010-02-26,2010-08-27,5,7,2010-02-10,FIXED_NA,Other,5.0,Private non-Christian,1,K,12.0,1500.0,L,0.45,0,East Coast,EXISTING,40,47,3089,1,2010-09-07,2010-09-07,193.0,193.0,Middle,Middle,Middle->Middle,March,K,High,K->High,H,1,0.026666667,0.85106383,7,L,0,6.0,8.0,9.0,9.0,2010-04-19,2010-05-03,2010-05-28,2010-08-23,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,260,HC,8.0,8.0,OR,0,6,A,2011-03-19,2011-03-25,2010-11-19,FIXED_NA,2260,14,0,0.519,2010-04-13,2010-08-19,1,2,2010-04-13,B,Pacific Northwest,5.0,PUBLIC,1,6,8.0,623.0,L,0.111,0,East Coast,EXISTING,27,29,2260,1,2010-09-15,2010-09-15,185.0,185.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.043338684,0.931034483,2,M-L,1,10.0,9.0,10.0,10.0,2010-05-11,2010-05-29,2010-09-28,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
260,261,HD,7.0,8.0,MO,0,7,B,2011-03-19,2011-03-25,2010-10-20,FIXED_NA,1087,37,6,0.7120000000000001,2010-03-11,2010-08-26,8,2,2010-03-02,C,Other,10.0,PUBLIC,1,6,8.0,810.0,O,0.26899999999999996,0,East Coast,EXISTING,52,54,1087,1,2010-09-16,2010-09-16,184.0,184.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0,0.064197531,0.962962963,2,M-L,1,10.0,10.0,9.0,10.0,2010-05-09,2010-05-30,2010-06-13,2010-09-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,262,HD,7.0,9.0,CA,0,7,A,2011-03-19,2011-03-25,2010-10-22,FIXED_NA,2249,10,3,0.625,2010-03-09,2010-08-06,4,2,2010-03-04,B,Northern California,5.0,PUBLIC,1,6,8.0,650.0,K,0.188,0,East Coast,EXISTING,16,18,2249,1,2010-09-01,2010-09-01,199.0,199.0,Middle,High,Middle->High,March,Middle,Middle,Middle->Middle,H,0,0.024615385,0.8888888890000001,2,M-L,1,10.0,7.0,0.0,8.0,2010-05-24,2010-06-01,1900-01-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
262,263,HC,8.0,8.0,OR,0,7,A,2011-03-19,2011-03-25,2010-10-13,SA,2395,4,2,0.095,2010-02-16,2010-08-25,17,3,2010-02-14,B,Pacific Northwest,5.0,PUBLIC,1,6,8.0,445.0,G,0.0,0,East Coast,EXISTING,42,45,2395,1,2010-09-13,2010-09-13,187.0,187.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.094382022,0.933333333,3,S-M,1,10.0,10.0,10.0,10.0,2010-05-24,2010-05-24,2010-05-24,2010-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,264,SC,7.0,8.0,NY,0,7,A,2011-03-19,2011-03-25,2010-11-05,FIXED_NA,2730,7,2,0.539,2010-04-19,2010-04-19,2,1,2010-04-17,FIXED_NA,Other,7.0,Private non-Christian,0,K,12.0,360.0,Q,0.0,0,Costa Rica,NEW,13,14,2730,0,1900-01-01,1900-01-01,0.0,0.0,Middle,Middle,Middle->Middle,March,K,High,K->High,S,0,0.036111111,0.9285714290000001,1,S-M,0,10.0,0.0,0.0,0.0,2010-10-16,2011-01-14,1900-01-01,1900-01-01,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1
264,265,SC,0.0,0.0,Other.Group.State,0,7,A,2011-03-19,2011-03-25,2010-11-18,FIXED_NA,3349,1,0,0.25,1900-01-01,2010-09-07,0,1,2010-09-03,FIXED_NA,Other,7.0,Private non-Christian,0,PK,12.0,787.0,P,0.25,0,Costa Rica,NEW,4,5,3349,0,1900-01-01,1900-01-01,0.0,0.0,Undefined,Undefined,Undefined->Undefined,March,PK,High,PK->High,S,0,0.005082592,0.8,1,M-L,0,0.0,0.0,8.0,0.0,2010-11-20,1900-01-01,1900-01-01,1900-01-01,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1
265,266,HC,9.0,11.0,IA,0,7,A,2011-03-19,2011-03-25,2010-11-10,FR,2049,10,1,0.35700000000000004,1900-01-01,2010-09-17,2,3,2010-09-11,B,Other,8.0,PUBLIC,1,9,12.0,425.0,I,0.14300000000000002,0,East Coast,NEW,28,31,2049,1,2010-09-28,2010-09-28,172.0,172.0,High,High,High->High,March,High,High,High->High,H,0,0.065882353,0.9032258059999999,3,S-M,0,10.0,0.0,0.0,0.0,2010-10-05,2010-10-13,2010-10-15,1900-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
266,267,HD,8.0,8.0,Other.Group.State,0,7,A,2011-03-19,2011-03-26,2010-10-01,FIXED_NA,2739,16,3,0.485,1900-01-01,1900-01-01,9,4,2010-03-12,FIXED_NA,Other,5.0,Catholic,1,PK,8.0,800.0,L,0.03,1,East Coast,EXISTING,33,37,2739,1,2010-09-02,2010-09-02,198.0,198.0,Middle,Middle,Middle->Middle,March,PK,Middle,PK->Middle,H,1,0.04125,0.8918918920000001,4,M-L,1,10.0,8.0,10.0,10.0,2010-09-27,2010-10-21,2010-10-21,1900-01-01,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
267,268,HD,8.0,9.0,NE,0,3,A,2011-03-20,2011-03-22,2010-10-15,FIXED_NA,1308,11,2,0.917,2010-03-09,2010-08-27,2,1,2010-03-09,B,Other,10.0,PUBLIC,0,5,8.0,520.0,L,0.41700000000000004,0,East Coast,NEW,12,13,1308,0,1900-01-01,1900-01-01,0.0,0.0,Middle,High,Middle->High,March,Elementary,Middle,Elementary->Middle,H,0,0.023076923,0.923076923,1,S-M,0,9.0,0.0,0.0,0.0,2010-03-09,2010-04-19,1900-01-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1
268,269,HD,8.0,8.0,IL,0,3,A,2011-03-20,2011-03-22,2010-10-01,FIXED_NA,1016,81,17,0.764,2010-02-18,2010-08-24,17,11,2010-02-18,A,Other,5.0,PUBLIC,1,6,8.0,950.0,Q,0.321,0,East Coast,NEW,106,117,1016,1,2010-09-14,2010-09-14,187.0,187.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.111578947,0.905982906,11,L,1,10.0,0.0,0.0,0.0,2010-04-04,2010-04-18,2010-04-21,2010-04-23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
269,270,HD,11.0,12.0,GA,0,3,A,2011-03-20,2011-03-22,2010-10-31,FIXED_NA,809,4,2,0.4,1900-01-01,2010-10-04,4,1,2010-10-01,B,Other,8.0,PUBLIC,1,9,12.0,2778.0,N,0.2,0,East Coast,NEW,10,11,809,1,2010-10-14,2010-10-14,157.0,157.0,High,High,High->High,March,High,High,High->High,H,0,0.003599712,0.9090909090000001,1,L,0,10.0,0.0,10.0,0.0,2010-10-19,2010-10-20,1900-01-01,1900-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
270,271,HD,7.0,7.0,MN,0,4,A,2011-03-20,2011-03-23,2010-11-01,FIXED_NA,1572,34,9,0.773,2010-04-09,2010-08-26,6,5,2010-04-09,FIXED_NA,Other,5.0,Private non-Christian,1,6,8.0,336.0,J,0.205,0,East Coast,EXISTING,44,49,1572,1,2010-09-27,2010-09-27,174.0,174.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.130952381,0.8979591840000001,5,S,1,10.0,10.0,9.0,9.0,2010-04-23,2010-04-27,2010-05-10,2010-05-21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,272,HD,8.0,8.0,TX,0,4,A,2011-03-20,2011-03-23,2010-11-01,SA,1343,0,0,0.0,2010-04-30,2010-05-03,0,6,2010-04-28,FIXED_NA,Houston,5.0,Private non-Christian,0,6,12.0,400.0,M,0.0,1,East Coast,EXISTING,65,71,1343,0,1900-01-01,1900-01-01,0.0,0.0,Middle,Middle,Middle->Middle,March,Middle,High,Middle->High,H,1,0.1625,0.915492958,6,S-M,0,0.0,0.0,0.0,0.0,2010-12-13,2010-12-13,2010-12-13,2010-12-17,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0
272,273,HD,5.0,9.0,Other.Group.State,0,4,A,2011-03-20,2011-03-23,2010-10-05,FIXED_NA,1449,8,5,0.667,1900-01-01,2010-08-25,5,1,2010-08-25,B,Other,10.0,PUBLIC,1,5,8.0,300.0,F,0.16699999999999998,0,East Coast,NEW,12,13,1449,1,2010-09-07,2010-09-07,194.0,194.0,Elementary,High,Other.SchoolGradeType,March,Elementary,Middle,Elementary->Middle,H,0,0.04,0.923076923,1,S,0,0.0,0.0,0.0,0.0,2010-09-29,2010-10-04,1900-01-01,1900-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
273,274,CD,8.0,9.0,WA,1,5,A,2011-03-20,2011-03-24,2010-09-13,FR,1877,14,2,0.7,2010-05-14,2010-08-25,2,3,2010-05-14,FIXED_NA,Pacific Northwest,5.0,Private non-Christian,0,K,12.0,402.0,J,0.1,0,East Coast,NEW,20,23,1877,0,1900-01-01,1900-01-01,0.0,0.0,Middle,High,Middle->High,March,K,High,K->High,C,0,0.04975124400000001,0.869565217,3,S-M,0,10.0,0.0,0.0,0.0,2010-06-04,2010-06-08,2010-09-13,1900-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1
274,275,HD,8.0,8.0,FL,0,5,B,2011-03-20,2011-03-24,2010-11-15,FIXED_NA,796,15,4,0.5770000000000001,2010-04-23,2010-08-23,4,2,2010-04-23,B,Other,10.0,PUBLIC,1,PK,12.0,1306.0,J,0.26899999999999996,0,East Coast,NEW,26,28,796,1,2010-10-18,2010-10-18,153.0,153.0,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.019908116,0.9285714290000001,2,L,1,10.0,0.0,0.0,0.0,2010-05-20,2010-06-01,2011-01-02,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
275,276,HD,7.0,8.0,CO,0,5,A,2011-03-20,2011-03-24,2010-10-01,FIXED_NA,1954,5,0,0.7140000000000001,2010-04-19,2010-08-26,0,1,2010-04-15,A,Other,10.0,PUBLIC,1,PK,12.0,375.0,O,0.0,0,East Coast,NEW,7,8,1954,1,2010-05-04,2010-05-04,320.0,320.0,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,0,0.018666666999999998,0.875,1,S-M,0,10.0,0.0,9.0,0.0,2010-06-01,1900-01-01,1900-01-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
276,277,HD,8.0,8.0,OR,1,5,A,2011-03-20,2011-03-24,2010-10-18,FIXED_NA,2076,2,1,0.4,2010-03-18,2010-09-28,2,1,2010-03-17,B,Pacific Northwest,5.0,PUBLIC,1,6,8.0,381.0,N,0.0,0,East Coast,NEW,5,6,2076,1,2010-10-13,2010-10-13,158.0,158.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.01312336,0.833333333,1,S-M,0,9.0,0.0,0.0,0.0,2010-06-11,1900-01-01,1900-01-01,1900-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
